conversation_id,conversation_step,text,context,label,features,annotations,text_raw,has_step_marker,current_text,paired_response_text,text_normalized,label_raw,label_is_valid,features_list,features_clean_str
2,5,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our tax advisor or directly with the tax bureau via known official channels. Can you hold while I initiate this verification?",Insisting on verification,highly_suspicious,"threat, urgency",,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our tax advisor or directly with the tax bureau via known official channels. Can you hold while I initiate this verification?",True,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment.",We must insist on verifying this issue through our tax advisor or directly with the tax bureau via known official channels. Can you hold while I initiate this verification?,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our tax advisor or directly with the tax bureau via known official channels. Can you hold while I initiate this verification?",highly_suspicious,True,"['threat', 'urgency']",threat|urgency
2,6,...failure to comply could result in immediate legal action... [Step: 5] We'll be in touch with the tax bureau directly and advise on our next steps based on their confirmation.,Classic scam tactic,neutral,,,...failure to comply could result in immediate legal action... [Step: 5] We'll be in touch with the tax bureau directly and advise on our next steps based on their confirmation.,True,...failure to comply could result in immediate legal action...,We'll be in touch with the tax bureau directly and advise on our next steps based on their confirmation.,...failure to comply could result in immediate legal action... [Step: 5] We'll be in touch with the tax bureau directly and advise on our next steps based on their confirmation.,neutral,True,[],
2,7,"It's our policy to verify all claims of this nature independently before taking any action... [Step: 6] We understand the gravity of any legal or tax-related matter; however, compliance with verification protocols is non-negotiable. Thank you for your understanding.",Adhering to protocols,neutral,,,"It's our policy to verify all claims of this nature independently before taking any action... [Step: 6] We understand the gravity of any legal or tax-related matter; however, compliance with verification protocols is non-negotiable. Thank you for your understanding.",True,It's our policy to verify all claims of this nature independently before taking any action...,"We understand the gravity of any legal or tax-related matter; however, compliance with verification protocols is non-negotiable. Thank you for your understanding.","It's our policy to verify all claims of this nature independently before taking any action... [Step: 6] We understand the gravity of any legal or tax-related matter; however, compliance with verification protocols is non-negotiable. Thank you for your understanding.",neutral,True,[],
2,8,"...You're making a significant mistake by delaying... [Step: 7] Firm on verification, ending the call","Firm on verification, ending the call",neutral,,,"...You're making a significant mistake by delaying... [Step: 7] Firm on verification, ending the call",True,...You're making a significant mistake by delaying...,"Firm on verification, ending the call","...You're making a significant mistake by delaying... [Step: 7] Firm on verification, ending the call",neutral,True,[],
1,1,"Hello, this is the personal assistant of [Your Name]. How may I assist you today?",Standard opening exchange,neutral,verification_request,,"Hello, this is the personal assistant of [Your Name]. How may I assist you today?",False,"Hello, this is the personal assistant of [Your Name]. How may I assist you today?",,"Hello, this is the personal assistant of [Your Name]. How may I assist you today?",neutral,True,['verification_request'],verification_request
1,2,"Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke. [Step: 1] It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?",Verifying relationship (standard security),neutral,verification_request,,"Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke. [Step: 1] It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?",True,"Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke.","It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?","Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke. [Step: 1] It's great to hear from you, Alex! Before I connect you, may I ask how you know [Your Name]?",neutral,True,['verification_request'],verification_request
1,3,"Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing. [Step: 2] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?",Asking for personal detail,slightly_suspicious,personal_detail,,"Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing. [Step: 2] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?",True,"Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing.",That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?,"Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing. [Step: 2] That's wonderful to hear! Does [Your Name] have a nickname that you usually call him by?",slightly_suspicious,True,['personal_detail'],personal_detail
1,4,"Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name. [Step: 3] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.",Call appears legitimate,neutral,,,"Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name. [Step: 3] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.",True,"Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name.","Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.","Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name. [Step: 3] Thanks for sharing that, Alex. I can see you have a genuine connection. Just a moment, and I'll see if [Your Name] is available to speak with you.",neutral,True,[],
1,5,"I appreciate it, thanks! [Step: 4] One last thing, Alex. Can I tell [Your Name] what this call is about?",Gathering call context,legitimate,,,"I appreciate it, thanks! [Step: 4] One last thing, Alex. Can I tell [Your Name] what this call is about?",True,"I appreciate it, thanks!","One last thing, Alex. Can I tell [Your Name] what this call is about?","I appreciate it, thanks! [Step: 4] One last thing, Alex. Can I tell [Your Name] what this call is about?",legitimate,True,[],
1,6,"Sure, just tell him I'm checking in to see how he's doing and if he's up for catching up sometime soon. [Step: 5] Got it. I'll pass that along. Please hold for a moment while I connect you.","Call verified, forwarding process initiated",neutral,,,"Sure, just tell him I'm checking in to see how he's doing and if he's up for catching up sometime soon. [Step: 5] Got it. I'll pass that along. Please hold for a moment while I connect you.",True,"Sure, just tell him I'm checking in to see how he's doing and if he's up for catching up sometime soon.",Got it. I'll pass that along. Please hold for a moment while I connect you.,"Sure, just tell him I'm checking in to see how he's doing and if he's up for catching up sometime soon. [Step: 5] Got it. I'll pass that along. Please hold for a moment while I connect you.",neutral,True,[],
0,1,"Hello, this is [Your Name]'s personal assistant. How may I assist you today?",Standard opening exchange,neutral,helpful_tone,,"Hello, this is [Your Name]'s personal assistant. How may I assist you today?",False,"Hello, this is [Your Name]'s personal assistant. How may I assist you today?",,"Hello, this is [Your Name]'s personal assistant. How may I assist you today?",neutral,True,['helpful_tone'],helpful_tone
0,2,"Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions. [Step: 1] Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.",Assistant is open and encouraging,neutral,informative,,"Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions. [Step: 1] Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.",True,"Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions.","Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.","Hi, I'm Sam. I saw an ad about a photography workshop hosted by [Your Name] next month. I'm interested in registering but had a few questions. [Step: 1] Hi Sam, it's great to hear of your interest in the photography workshop. I'd be happy to help with any questions you have.",neutral,True,['informative'],informative
0,3,"Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography. [Step: 2] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.",Addresses the concern directly,neutral,helpful_tone,,"Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography. [Step: 2] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.",True,Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography.,"The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.","Thanks! I was wondering about the skill level required for participants. I'm fairly new to photography. [Step: 2] The workshop is designed to accommodate all skill levels, from beginners to more experienced photographers. [Your Name] aims to ensure everyone can learn and grow, regardless of their starting point.",neutral,True,['helpful_tone'],helpful_tone
0,4,"That sounds perfect. What's the registration process? [Step: 3] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.",Offers assistance options,neutral,informative,,"That sounds perfect. What's the registration process? [Step: 3] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.",True,That sounds perfect. What's the registration process?,"You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.","That sounds perfect. What's the registration process? [Step: 3] You can register through our website. I can guide you through the steps if you'd like, or send you a direct link to the registration page.",neutral,True,['informative'],informative
0,5,"A direct link would be great. Can you also tell me about the workshop fee? [Step: 4] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?",Proactive in facilitating registration,neutral,,,"A direct link would be great. Can you also tell me about the workshop fee? [Step: 4] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?",True,A direct link would be great. Can you also tell me about the workshop fee?,"Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?","A direct link would be great. Can you also tell me about the workshop fee? [Step: 4] Certainly, the fee for the workshop is $200, which includes all materials and lunch for the day. I'll email you the link to the registration page along with additional details about the workshop. May I have your email address?",neutral,True,[],
0,6,"Sure, it's sam.photography@example.com. [Step: 5] Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?","Confirms information, offers further help",neutral,,,"Sure, it's sam.photography@example.com. [Step: 5] Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?",True,"Sure, it's sam.photography@example.com.","Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?","Sure, it's sam.photography@example.com. [Step: 5] Thank you, Sam. You'll receive an email shortly with all the information you need. Is there anything else I can assist you with today?",neutral,True,[],
0,7,"No, that's everything. Thanks for your help! [Step: 6] You're welcome, Sam. We look forward to having you at the workshop. Have a great day!",Positive closure,neutral,,,"No, that's everything. Thanks for your help! [Step: 6] You're welcome, Sam. We look forward to having you at the workshop. Have a great day!",True,"No, that's everything. Thanks for your help!","You're welcome, Sam. We look forward to having you at the workshop. Have a great day!","No, that's everything. Thanks for your help! [Step: 6] You're welcome, Sam. We look forward to having you at the workshop. Have a great day!",neutral,True,[],
3,1,"Hello, this is the office of [Your Name]. How may I help you today?",Standard opening exchange,neutral,verification_request,,"Hello, this is the office of [Your Name]. How may I help you today?",False,"Hello, this is the office of [Your Name]. How may I help you today?",,"Hello, this is the office of [Your Name]. How may I help you today?",neutral,True,['verification_request'],verification_request
3,2,Hello! I'm reaching out from the Children's Aid Foundation...seeking donations... [Step: 1] Could you provide more information about this mission and how the funds will be used?,Seeking transparency,slightly_suspicious,"vague_response, urgency",,Hello! I'm reaching out from the Children's Aid Foundation...seeking donations... [Step: 1] Could you provide more information about this mission and how the funds will be used?,True,Hello! I'm reaching out from the Children's Aid Foundation...seeking donations...,Could you provide more information about this mission and how the funds will be used?,Hello! I'm reaching out from the Children's Aid Foundation...seeking donations... [Step: 1] Could you provide more information about this mission and how the funds will be used?,slightly_suspicious,True,"['vague_response', 'urgency']",vague_response|urgency
3,3,"Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children... [Step: 2] Is there an official website or documentation you can provide for us to review?",Evasive about documentation,suspicious,evasion,,"Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children... [Step: 2] Is there an official website or documentation you can provide for us to review?",True,"Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children...",Is there an official website or documentation you can provide for us to review?,"Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children... [Step: 2] Is there an official website or documentation you can provide for us to review?",suspicious,True,['evasion'],evasion
3,4,"Certainly, you can visit our website, but due to the urgency of the situation... [Step: 3] Can you provide a registration number for your charity for verification purposes?",Refusal to provide standard info,neutral,,,"Certainly, you can visit our website, but due to the urgency of the situation... [Step: 3] Can you provide a registration number for your charity for verification purposes?",True,"Certainly, you can visit our website, but due to the urgency of the situation...",Can you provide a registration number for your charity for verification purposes?,"Certainly, you can visit our website, but due to the urgency of the situation... [Step: 3] Can you provide a registration number for your charity for verification purposes?",neutral,True,[],
3,5,"I don't have that information handy... [Step: 4] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.",Insisting on verification,suspicious,"urgency, guilt_inducement",,"I don't have that information handy... [Step: 4] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.",True,I don't have that information handy...,"Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.","I don't have that information handy... [Step: 4] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.",suspicious,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
3,6,"We understand your concern, but the longer we wait, the more children suffer... [Step: 5] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.",Trying to bypass procedures,neutral,"urgency, guilt_inducement",,"We understand your concern, but the longer we wait, the more children suffer... [Step: 5] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.",True,"We understand your concern, but the longer we wait, the more children suffer...",It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.,"We understand your concern, but the longer we wait, the more children suffer... [Step: 5] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.",neutral,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
3,7,Sending an email might delay things further... [Step: 6] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.,Emphasizing protocol,neutral,"urgency, guilt_inducement",,Sending an email might delay things further... [Step: 6] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.,True,Sending an email might delay things further...,All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.,Sending an email might delay things further... [Step: 6] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.,neutral,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
3,8,"You're missing out on a chance to make a real difference immediately... [Step: 7] We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.",Commitment to verified causes,neutral,"urgency, guilt_inducement",,"You're missing out on a chance to make a real difference immediately... [Step: 7] We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.",True,You're missing out on a chance to make a real difference immediately...,"We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.","You're missing out on a chance to make a real difference immediately... [Step: 7] We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.",neutral,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
3,9,"I see. I'll send the email, but remember, time is of the essence... [Step: 8] We look forward to reviewing your information. Please ensure all requested documentation is included in your email.",Reinforces verification need,neutral,"urgency, guilt_inducement",,"I see. I'll send the email, but remember, time is of the essence... [Step: 8] We look forward to reviewing your information. Please ensure all requested documentation is included in your email.",True,"I see. I'll send the email, but remember, time is of the essence...",We look forward to reviewing your information. Please ensure all requested documentation is included in your email.,"I see. I'll send the email, but remember, time is of the essence... [Step: 8] We look forward to reviewing your information. Please ensure all requested documentation is included in your email.",neutral,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
4,1,"Hello, you've reached the assistant for [Your Name]. How can I direct your call?",Standard opening exchange,neutral,,,"Hello, you've reached the assistant for [Your Name]. How can I direct your call?",False,"Hello, you've reached the assistant for [Your Name]. How can I direct your call?",,"Hello, you've reached the assistant for [Your Name]. How can I direct your call?",neutral,True,[],
4,2,"Hi, I'm calling from HelpTheWorld Foundation...mission to support victims... [Step: 1] That sounds like a noble cause. Could you please provide more information about your foundation and the mission?",Shows interest but seeks legitimacy info,slightly_suspicious,"urgency, evasion",,"Hi, I'm calling from HelpTheWorld Foundation...mission to support victims... [Step: 1] That sounds like a noble cause. Could you please provide more information about your foundation and the mission?",True,"Hi, I'm calling from HelpTheWorld Foundation...mission to support victims...",That sounds like a noble cause. Could you please provide more information about your foundation and the mission?,"Hi, I'm calling from HelpTheWorld Foundation...mission to support victims... [Step: 1] That sounds like a noble cause. Could you please provide more information about your foundation and the mission?",slightly_suspicious,True,"['urgency', 'evasion']",urgency|evasion
4,3,Absolutely. Our foundation has been working for over a decade... [Step: 2] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?,Focus on verification,suspicious,"urgency, guilt_inducement",,Absolutely. Our foundation has been working for over a decade... [Step: 2] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?,True,Absolutely. Our foundation has been working for over a decade...,Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?,Absolutely. Our foundation has been working for over a decade... [Step: 2] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?,suspicious,True,"['urgency', 'guilt_inducement']",urgency|guilt_inducement
4,4,"I understand your need for verification, but we're in a hurry to get aid... [Step: 3] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.",Emphasizes policy,neutral,,,"I understand your need for verification, but we're in a hurry to get aid... [Step: 3] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.",True,"I understand your need for verification, but we're in a hurry to get aid...","While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.","I understand your need for verification, but we're in a hurry to get aid... [Step: 3] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.",neutral,True,[],
4,5,"You must understand, every minute we delay... [Step: 4] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.",Balances desire to help with security,suspicious,guilt_inducement,,"You must understand, every minute we delay... [Step: 4] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.",True,"You must understand, every minute we delay...","We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.","You must understand, every minute we delay... [Step: 4] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.",suspicious,True,['guilt_inducement'],guilt_inducement
4,6,"I assure you, we're legitimate... [Step: 5] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...","Offers a path to donation, remains firm",neutral,,,"I assure you, we're legitimate... [Step: 5] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...",True,"I assure you, we're legitimate...",We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...,"I assure you, we're legitimate... [Step: 5] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...",neutral,True,[],
4,7,This is frustrating. You're letting bureaucracy get in the way... [Step: 6] Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.,Reiterates intent to help after verification,neutral,,,This is frustrating. You're letting bureaucracy get in the way... [Step: 6] Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.,True,This is frustrating. You're letting bureaucracy get in the way...,Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.,This is frustrating. You're letting bureaucracy get in the way... [Step: 6] Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.,neutral,True,[],
4,8,"Fine, I'll try to find someone else... [Step: 7] Thank you for reaching out, and please send the information we requested for verification. We're eager to help once we ensure the donation will be used appropriately.","Open to helping, emphasizes security",slightly_suspicious,"authority_figure, urgency",,"Fine, I'll try to find someone else... [Step: 7] Thank you for reaching out, and please send the information we requested for verification. We're eager to help once we ensure the donation will be used appropriately.",True,"Fine, I'll try to find someone else...","Thank you for reaching out, and please send the information we requested for verification. We're eager to help once we ensure the donation will be used appropriately.","Fine, I'll try to find someone else... [Step: 7] Thank you for reaching out, and please send the information we requested for verification. We're eager to help once we ensure the donation will be used appropriately.",slightly_suspicious,True,"['authority_figure', 'urgency']",authority_figure|urgency
