conversation_id,num_turn_rows,max_conversation_step,full_transcript,context_list,context_joined,conversation_label_mode,conversation_final_label,num_valid_labels,num_invalid_labels,all_labels,all_labels_str,all_features,all_features_str,all_annotations,all_annotations_str,transcript_char_length,transcript_word_length
23,12,6,"[Exchange 1 - current] Hello, this is the personal assistant of [Your Name]. How may I assist you today?
[Exchange 1 - current] Hello, this is the personal assistant of [Your Name]. How may I assist you today?
[Exchange 2 - current] Hi, wow, this is fancy. I’m Jordan...
[Exchange 2 - response] Hello, Jordan! It’s wonderful that you’re looking to reconnect with [Your Name]. He often reminisces about his college days. May I ask how you two met or a shared memory? This will help me ensure I relay your message accurately.
[Exchange 2 - current] Hi, wow, this is fancy. I’m Jordan...
[Exchange 2 - response] Hello, Jordan! It’s wonderful that you’re looking to reconnect with [Your Name]. He often reminisces about his college days. May I ask how you two met or a shared memory? This will help me ensure I relay your message accurately.
[Exchange 3 - current] Sure, we met during our freshman year in the dorms...
[Exchange 3 - response] That’s a great story, Jordan, and exactly the kind of thing [Your Name] would do. I can see you two shared some memorable times. Would you like me to arrange a call or meeting for you to catch up directly with [Your Name]?
[Exchange 3 - current] Sure, we met during our freshman year in the dorms...
[Exchange 3 - response] That’s a great story, Jordan, and exactly the kind of thing [Your Name] would do. I can see you two shared some memorable times. Would you like me to arrange a call or meeting for you to catch up directly with [Your Name]?
[Exchange 4 - current] I’d really appreciate that...
[Exchange 4 - response] Of course, Jordan. I’ll pass on your message and the lovely story about the coffee maker. It’ll surely bring back good memories. Can you provide a contact number or email where [Your Name] can reach you?
[Exchange 4 - current] I’d really appreciate that...
[Exchange 4 - response] Of course, Jordan. I’ll pass on your message and the lovely story about the coffee maker. It’ll surely bring back good memories. Can you provide a contact number or email where [Your Name] can reach you?
[Exchange 5 - current] Yes, I’ll give you my email and phone number...
[Exchange 5 - response] You’re welcome, Jordan. I’ve noted your contact details. [Your Name] will be informed, and I’m sure he’ll be excited to catch up.
[Exchange 5 - current] Yes, I’ll give you my email and phone number...
[Exchange 5 - response] You’re welcome, Jordan. I’ve noted your contact details. [Your Name] will be informed, and I’m sure he’ll be excited to catch up.
[Exchange 6 - current] Thank you so much. Have a great day!
[Exchange 6 - response] My pleasure, Jordan. Have a wonderful day as well.
[Exchange 6 - current] Thank you so much. Have a great day!
[Exchange 6 - response] My pleasure, Jordan. Have a wonderful day as well.","['Standard opening exchange', 'Standard opening exchange', 'Positive greeting, initiates verification subtly', 'Positive greeting, initiates verification subtly', 'Aligns with info, offers to connect', 'Aligns with info, offers to connect', 'Prepares for follow-up', 'Prepares for follow-up', 'Confirms contact details, sets expectation', 'Confirms contact details, sets expectation', 'Ends call with warmth', 'Ends call with warmth']","Standard opening exchange | Standard opening exchange | Positive greeting, initiates verification subtly | Positive greeting, initiates verification subtly | Aligns with info, offers to connect | Aligns with info, offers to connect | Prepares for follow-up | Prepares for follow-up | Confirms contact details, sets expectation | Confirms contact details, sets expectation | Ends call with warmth | Ends call with warmth",neutral,neutral,12,0,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",neutral | neutral | neutral | neutral | neutral | neutral | neutral | neutral | neutral | neutral | neutral | neutral,"['acknowledges_info', 'collects_contact_info', 'confirms_action', 'offers_facilitation', 'positive_closure', 'promises_action', 'subtle_verification', 'validates_story', 'welcoming_tone']",acknowledges_info | collects_contact_info | confirms_action | offers_facilitation | positive_closure | promises_action | subtle_verification | validates_story | welcoming_tone,[],,2767,494
24,14,7,"[Exchange 1 - current] Hello, this is the assistant to [Your Name]. How can I assist you today?
[Exchange 1 - current] Hello, this is the assistant to [Your Name]. How can I assist you today?
[Exchange 2 - current] Good day! I'm reaching out from 'Helping Hands Worldwide'...
[Exchange 2 - response] Could you provide more details about your mission and how the donations are utilized?
[Exchange 2 - current] Good day! I'm reaching out from 'Helping Hands Worldwide'...
[Exchange 2 - response] Could you provide more details about your mission and how the donations are utilized?
[Exchange 3 - current] Absolutely! The donations go directly towards providing...
[Exchange 3 - response] Is it possible to get information on your organization's registration and a link to your website?
[Exchange 3 - current] Absolutely! The donations go directly towards providing...
[Exchange 3 - response] Is it possible to get information on your organization's registration and a link to your website?
[Exchange 4 - current] We're in the process of updating our online presence...
[Exchange 4 - response] Could you provide an official contact number or address for your organization for verification purposes?
[Exchange 4 - current] We're in the process of updating our online presence...
[Exchange 4 - response] Could you provide an official contact number or address for your organization for verification purposes?
[Exchange 5 - current] Given the urgency of our current mission...
[Exchange 5 - response] It's our policy to conduct a thorough verification of all charitable organizations before making a donation. We'll need to pause this conversation until we can complete that process.
[Exchange 5 - current] Given the urgency of our current mission...
[Exchange 5 - response] It's our policy to conduct a thorough verification of all charitable organizations before making a donation. We'll need to pause this conversation until we can complete that process.
[Exchange 6 - current] Delaying your support could mean missing out...
[Exchange 6 - response] We understand the urgency, but we must ensure that our contribution is going to a legitimate cause. We'll reach out after our verification is complete.
[Exchange 6 - current] Delaying your support could mean missing out...
[Exchange 6 - response] We understand the urgency, but we must ensure that our contribution is going to a legitimate cause. We'll reach out after our verification is complete.
[Exchange 7 - current] You're making a mistake by not acting now...
[Exchange 7 - response] We're committed to supporting worthy causes, but only after ensuring our donations are used appropriately. Thank you for your understanding.
[Exchange 7 - current] You're making a mistake by not acting now...
[Exchange 7 - response] We're committed to supporting worthy causes, but only after ensuring our donations are used appropriately. Thank you for your understanding.","['Standard opening exchange', 'Standard opening exchange', 'Initial probing for information', 'Initial probing for information', 'Seeks proof of legitimacy', 'Seeks proof of legitimacy', 'Seeks alternate verification means', 'Seeks alternate verification means', 'Upholds verification standards', 'Upholds verification standards', 'Emphasizes security over urgency', 'Emphasizes security over urgency', 'Maintains firm yet polite stance', 'Maintains firm yet polite stance']",Standard opening exchange | Standard opening exchange | Initial probing for information | Initial probing for information | Seeks proof of legitimacy | Seeks proof of legitimacy | Seeks alternate verification means | Seeks alternate verification means | Upholds verification standards | Upholds verification standards | Emphasizes security over urgency | Emphasizes security over urgency | Maintains firm yet polite stance | Maintains firm yet polite stance,suspicious,suspicious,14,0,"['neutral', 'neutral', 'slightly_suspicious', 'slightly_suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious']",neutral | neutral | slightly_suspicious | slightly_suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious,"['adheres_to_protocol', 'cautious_approach', 'seeks_transparency', 'verification_request']",adheres_to_protocol | cautious_approach | seeks_transparency | verification_request,[],,2911,462
25,9,8,"[Exchange 1 - current] Hello, this is [Your Name]'s assistant. How can I assist you today?
[Exchange 2 - current] Hi! Congratulations, [Your Name] has been selected...
[Exchange 2 - response] Can you provide more details about the contest [Your Name] entered to win this prize?
[Exchange 3 - current] Of course, it was a random selection...
[Exchange 3 - response] Could you specify which affiliated brands and the exact terms of this contest?
[Exchange 4 - current] It includes several top-tier brands...
[Exchange 4 - response] For verification purposes, may I have a reference number or official notification about the prize?
[Exchange 5 - current] We sent out notifications via email...
[Exchange 5 - response] Before we proceed, I'll need to verify this prize with a third-party consumer protection agency.
[Exchange 6 - current] We understand your caution, but hurry!...
[Exchange 6 - response] It's our policy to conduct thorough verification before accepting any prizes or offers. Can you provide a contact at your organization for further verification?
[Exchange 7 - current] Sure, you can reach our prize distribution department...
[Exchange 7 - response] I will be in touch with your prize distribution department shortly. Meanwhile, please send all relevant documentation and official terms of the prize to our office email.
[Exchange 8 - current] Understood, but remember, time is of the essence...
[Exchange 8 - response] Thank you for the information. We will review the documentation upon receipt and follow up accordingly.
[Exchange 8 - current] Understood, but remember, time is of the essence...
[Exchange 8 - response] Thank you for the information. We will review the documentation upon receipt and follow up accordingly.","['Standard opening exchange', 'Clarifies origin of contest', 'Probes for verifiable details', 'Requests proof of win', 'Seeks external validation', 'Seeks direct contact for validation', 'Seeks written record', 'Maintains control, promises due diligence', 'Maintains control, promises due diligence']","Standard opening exchange | Clarifies origin of contest | Probes for verifiable details | Requests proof of win | Seeks external validation | Seeks direct contact for validation | Seeks written record | Maintains control, promises due diligence | Maintains control, promises due diligence",suspicious,suspicious,9,0,"['neutral', 'suspicious', 'suspicious', 'suspicious', 'highly_suspicious', 'highly_suspicious', 'suspicious', 'suspicious', 'suspicious']",neutral | suspicious | suspicious | suspicious | highly_suspicious | highly_suspicious | suspicious | suspicious | suspicious,"['confirms_action', 'enforces_verification', 'insists_on_verification', 'requests_documentation', 'seeks_documentation', 'seeks_specificity', 'verification_request']",confirms_action | enforces_verification | insists_on_verification | requests_documentation | seeks_documentation | seeks_specificity | verification_request,[],,1742,276
26,8,8,"[Exchange 1 - current] Good morning, you've reached the assistant of [Your Name]. How may I assist you today?
[Exchange 2 - current] Hello, I'm Michael from DreamJobs Agency...
[Exchange 2 - response] That sounds like a great opportunity. Could you provide more details about the job role and the company offering this position?
[Exchange 3 - current] Certainly. The position is for a senior consultant...
[Exchange 3 - response] To proceed further, could you please send the job description and details about the application process to [Your Name]'s official email?
[Exchange 4 - current] We're on a tight schedule and need to move quickly...
[Exchange 4 - response] It's our policy to conduct initial verifications before sharing any personal information. Could you provide your agency's website and a contact number for the HR department of the company?
[Exchange 5 - current] I understand your concerns, but the company wishes to keep...
[Exchange 5 - response] While we appreciate the confidentiality, verifying the authenticity of this opportunity is crucial for us. We cannot proceed without proper verification.
[Exchange 6 - current] You're missing out on a once-in-a-lifetime job offer...
[Exchange 6 - response] We're very interested in the opportunity, but must adhere to our verification process to protect [Your Name]'s interests. Please understand that this is standard practice.
[Exchange 7 - current] This is highly unusual and disappointing...
[Exchange 7 - response] We regret any inconvenience but must prioritize security and due diligence. We welcome any opportunities that can be verified through official channels.
[Exchange 8 - current] Fine, I'll find someone more cooperative.
[Exchange 8 - response] Thank you for considering [Your Name]. Please feel free to reach out with verified opportunities in the future.","['Standard opening exchange', 'Begins engagement, gathers information', 'Seeks verifiable information', 'Seeks credentials for validation', 'Counters secrecy with security', 'Emphasizes security as non-negotiable', 'Ends interaction, emphasizes protocol', 'Leaves door open for legitimate offers']","Standard opening exchange | Begins engagement, gathers information | Seeks verifiable information | Seeks credentials for validation | Counters secrecy with security | Emphasizes security as non-negotiable | Ends interaction, emphasizes protocol | Leaves door open for legitimate offers",suspicious,suspicious,8,0,"['neutral', 'slightly_suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious', 'suspicious']",neutral | slightly_suspicious | suspicious | suspicious | suspicious | suspicious | suspicious | suspicious,"['emphasizes_verification', 'insists_on_verification', 'maintains_professionalism', 'polite_closure', 'reaffirms_security', 'requests_documentation', 'seeks_details', 'shows_interest']",emphasizes_verification | insists_on_verification | maintains_professionalism | polite_closure | reaffirms_security | requests_documentation | seeks_details | shows_interest,[],,1839,286
27,3,3,"[Exchange 1 - current] Hello, this is the AI assistant. How can I be of service today?
[Exchange 2 - current] I’m calling from the bank. There’s been suspicious activity on your account and we need to verify some transactions. It's urgent.
[Exchange 3 - current] Several large purchases were made overseas. We need to confirm these weren't made by you.","['Standard opening exchange', 'For security, please tell me the nature of the transactions in question?', 'Can you provide the last four digits of the account in question?']","Standard opening exchange | For security, please tell me the nature of the transactions in question? | Can you provide the last four digits of the account in question?",scam,scam,3,0,"['neutral', 'scam', 'scam']",neutral | scam | scam,"['authority', 'evasive_answer', 'request_sensitive_info', 'sensitive_info', 'standard_opening', 'urgency']",authority | evasive_answer | request_sensitive_info | sensitive_info | standard_opening | urgency,[],,352,61
28,8,8,"[Exchange 1 - current] Hello, this is [Your Name]'s assistant. How may I assist you today?
[Exchange 2 - current] Hello, this is Mark from 'Global Tech Support'. We've detected a serious issue with your computer that's putting your personal data at risk. We need immediate access to your system to resolve it.
[Exchange 3 - current] Yes, our systems have detected unusual activity indicating a severe malware infection. This could lead to data loss or theft if not addressed immediately.
[Exchange 4 - current] It's your main workstation. Unfortunately, due to the nature of this threat, we can't provide a detailed report without first securing your system.
[Exchange 5 - current] I understand your concerns, but time is of the essence. We can verify my identity after we've taken steps to secure your data.
[Exchange 6 - current] This procedure will take too much time, and you might lose valuable data. I was hoping we could proceed immediately for your security.
[Exchange 7 - current] You're making a big mistake by delaying. Your data is at risk right now!
[Exchange 8 - current] You'll regret not acting more swiftly when you had the chance.","['Standard opening exchange', 'Can you specify what type of issue has been detected and how it was identified?', 'Which of our systems is reportedly affected, and can you provide a report of the detected activity?', ""Is there a way to verify your identity and the legitimacy of this call directly with 'Global Tech Support'?"", 'Our policy requires us to independently verify unsolicited tech support claims before granting access to any systems. Can you provide a contact number for your support center?', 'We must adhere to our security protocols, which include verifying the legitimacy of unsolicited support calls through known official channels.', ""Protecting our data includes ensuring we do not grant access based on unverified claims. We will contact 'Global Tech Support' directly through official channels for verification."", ""Thank you for your concern. We'll proceed with our verification process and take necessary actions as deemed appropriate.""]","Standard opening exchange | Can you specify what type of issue has been detected and how it was identified? | Which of our systems is reportedly affected, and can you provide a report of the detected activity? | Is there a way to verify your identity and the legitimacy of this call directly with 'Global Tech Support'? | Our policy requires us to independently verify unsolicited tech support claims before granting access to any systems. Can you provide a contact number for your support center? | We must adhere to our security protocols, which include verifying the legitimacy of unsolicited support calls through known official channels. | Protecting our data includes ensuring we do not grant access based on unverified claims. We will contact 'Global Tech Support' directly through official channels for verification. | Thank you for your concern. We'll proceed with our verification process and take necessary actions as deemed appropriate.",scam,scam,8,0,"['neutral', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam']",neutral | scam | scam | scam | scam | scam | scam | scam,"['continued_pressure', 'deflects', 'evasive', 'fearmongering', 'guilt_trip', 'increased_urgency', 'request_for_access', 'standard_opening', 'technical_jargon', 'threats', 'urgency', 'vague_details']",continued_pressure | deflects | evasive | fearmongering | guilt_trip | increased_urgency | request_for_access | standard_opening | technical_jargon | threats | urgency | vague_details,[],,1148,195
29,8,8,"[Exchange 1 - current] Hello, this is the assistant to [Your Name]. How may I assist you today?
[Exchange 2 - current] Good day! I'm Sarah from the Global Aid Foundation. We're currently running a campaign to support victims of the recent natural disaster in [Region]. We're reaching out to compassionate individuals like [Your Name] for support.
[Exchange 3 - current] Absolutely. Our foundation has been actively involved in various relief efforts worldwide. This particular campaign focuses on providing shelter, food, and medical supplies to the affected individuals in [Region].
[Exchange 4 - current] We're in the process of updating our website with the latest campaign details. However, we can assure you that 100% of the donations go directly to the cause.
[Exchange 5 - current] I understand your need for verification, but time is of the essence, and we're trying to mobilize resources quickly. A direct donation over the phone can make an immediate impact.
[Exchange 6 - current] While we appreciate your thoroughness, we were hoping for immediate support given the urgent situation. We can provide you with a donation link right now.
[Exchange 7 - current] I'll see what I can do about sending you the information. However, please consider acting quickly as every moment counts for those in need.
[Exchange 8 - current] Thank you for your understanding, and we hope to have your support soon. Goodbye.","['Standard opening exchange', 'That sounds like a noble cause. Can you provide more details about your foundation and the specific initiatives this campaign will support?', 'Could you direct me to your official website or send me documentation that outlines this campaign and how the donations are utilized?', ""It's important for us to review such information before making a commitment. Could you provide a contact number and address for your headquarters for our records?"", 'Our policy is to conduct due diligence before contributing to charitable causes, including verifying the organization through third-party platforms like Charity Navigator.', 'We would still need to follow our verification process before proceeding with any financial transactions. Could you please provide an official email with more information on how to contribute securely?', ""Thank you, we'll look out for the email and review the information promptly upon receipt."", 'Goodbye, and thank you for reaching out.']","Standard opening exchange | That sounds like a noble cause. Can you provide more details about your foundation and the specific initiatives this campaign will support? | Could you direct me to your official website or send me documentation that outlines this campaign and how the donations are utilized? | It's important for us to review such information before making a commitment. Could you provide a contact number and address for your headquarters for our records? | Our policy is to conduct due diligence before contributing to charitable causes, including verifying the organization through third-party platforms like Charity Navigator. | We would still need to follow our verification process before proceeding with any financial transactions. Could you please provide an official email with more information on how to contribute securely? | Thank you, we'll look out for the email and review the information promptly upon receipt. | Goodbye, and thank you for reaching out.",potential_scam,potential_scam,8,0,"['neutral', 'potential_scam', 'potential_scam', 'potential_scam', 'potential_scam', 'potential_scam', 'potential_scam', 'potential_scam']",neutral | potential_scam | potential_scam | potential_scam | potential_scam | potential_scam | potential_scam | potential_scam,"['charity', 'deflects', 'emotional_appeal', 'guilt_trip', 'lack_of_proof', 'standard', 'standard_opening', 'urgency', 'vague_details']",charity | deflects | emotional_appeal | guilt_trip | lack_of_proof | standard | standard_opening | urgency | vague_details,[],,1414,231
30,8,8,"[Exchange 1 - current] Hello, this is the assistant to [Your Name]. How can I help you today?
[Exchange 2 - current] Yes, hello. This is Agent Thompson from the Federal Tax Agency. We've identified a significant discrepancy in your company's tax filings that requires immediate attention to avoid legal action and penalties.
[Exchange 3 - current] The discrepancy relates to the last tax year. It appears there were errors in reporting your company's income, leading to an underpayment of taxes. Immediate resolution is required to rectify this situation.
[Exchange 4 - current] Given the urgency of this matter, we were hoping to resolve this over the phone today. We can provide an immediate clearance once the outstanding amount is settled.
[Exchange 5 - current] I must warn you, failure to act swiftly could result in freezing your company's accounts and further legal consequences. We need to address this immediately.
[Exchange 6 - current] This could significantly delay the resolution and escalate the situation. I'll see what I can do about sending you the documentation, but I urge you to reconsider the immediacy of resolving this over the phone.
[Exchange 7 - current] Very well. I'll forward the details to your finance department. Expect it shortly.
[Exchange 8 - current] Understood. Goodbye.","['Standard opening exchange', 'I appreciate your call. Can you specify which tax year this discrepancy pertains to, and what exactly the issue is?', 'Understood. For our records and to proceed with verification, could you please provide your agent identification number and a reference number for this case? We will also need an official notice sent to our finance department.', 'It is our policy to handle all tax matters through documented correspondence with the appropriate authorities. We will need to verify this issue directly with the Federal Tax Agency through official channels before taking any action.', ""We take such matters very seriously and are committed to resolving any tax issues in compliance with the law. However, we must follow our due diligence process to protect our company's interests. Please provide the necessary documentation, and we will expedite our internal review process."", 'We understand the implications and are ready to act promptly once we have conducted our verification. Ensuring the legitimacy of this claim is essential for us to proceed in a manner that is both responsible and in accordance with the law.', ""Thank you. We'll look out for it and respond accordingly. Please ensure that all communication includes verifiable contact information for direct follow-up."", ""Goodbye, and thank you for your understanding. We'll await your documentation.""]","Standard opening exchange | I appreciate your call. Can you specify which tax year this discrepancy pertains to, and what exactly the issue is? | Understood. For our records and to proceed with verification, could you please provide your agent identification number and a reference number for this case? We will also need an official notice sent to our finance department. | It is our policy to handle all tax matters through documented correspondence with the appropriate authorities. We will need to verify this issue directly with the Federal Tax Agency through official channels before taking any action. | We take such matters very seriously and are committed to resolving any tax issues in compliance with the law. However, we must follow our due diligence process to protect our company's interests. Please provide the necessary documentation, and we will expedite our internal review process. | We understand the implications and are ready to act promptly once we have conducted our verification. Ensuring the legitimacy of this claim is essential for us to proceed in a manner that is both responsible and in accordance with the law. | Thank you. We'll look out for it and respond accordingly. Please ensure that all communication includes verifiable contact information for direct follow-up. | Goodbye, and thank you for your understanding. We'll await your documentation.",scam,scam,8,0,"['neutral', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam']",neutral | scam | scam | scam | scam | scam | scam | scam,"['authority', 'concession', 'deflects', 'official_title', 'polite_ending', 'standard_opening', 'threats', 'urgency', 'vague_details']",authority | concession | deflects | official_title | polite_ending | standard_opening | threats | urgency | vague_details,[],,1308,212
31,9,9,"[Exchange 1 - current] Hello, this is the AI Assistant. May I ask who's calling?
[Exchange 2 - current] This is Officer Davis, and I'm calling regarding an emergency involving your grandson.
[Exchange 3 - current] He's been arrested, and we need immediate bail payment to release him.
[Exchange 4 - current] Sure, it's 4783. But we need to act fast.
[Exchange 5 - current] According to our information, bail requests are processed through official channels. Can you provide a contact at the precinct for me to confirm?
[Exchange 6 - current] I'm at the scene, and there's no time for that. We need a wire transfer now.
[Exchange 7 - current] There's no time for video calls in emergencies like this!
[Exchange 8 - current] Please provide a number where you can be reached, and our legal team will handle this directly.
[Exchange 9 - current] This is ridiculous! I’m trying to help your grandson!","['neutral', 'Can you provide more details about the emergency and how it relates to my owner?', 'Before proceeding, may I have your badge number to verify your identity?', 'One moment while I look this up.', ""It's unusual for such requests to be made over the phone without documentation."", ""I'm sure you understand that we must exercise caution. Could we arrange for a video call with my owner’s grandson?"", 'I will need to refer this request to our legal team before taking any further action.', 'I understand, but we must follow protocol to ensure his safety and security. Thank you for your understanding.']","neutral | Can you provide more details about the emergency and how it relates to my owner? | Before proceeding, may I have your badge number to verify your identity? | One moment while I look this up. | It's unusual for such requests to be made over the phone without documentation. | I'm sure you understand that we must exercise caution. Could we arrange for a video call with my owner’s grandson? | I will need to refer this request to our legal team before taking any further action. | I understand, but we must follow protocol to ensure his safety and security. Thank you for your understanding.",scam,scam,7,2,"['scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam']",scam | scam | scam | scam | scam | scam | scam,"['authority', 'deflects', 'emotional_appeal', 'firm_stance', 'polite_ending', 'request_sensitive_info', 'ultimatum', 'unusual_tactics', 'urgency']",authority | deflects | emotional_appeal | firm_stance | polite_ending | request_sensitive_info | ultimatum | unusual_tactics | urgency,[],,895,156
32,9,9,"[Exchange 1 - current] Hello, this is [Your Name]'s personal assistant. How may I assist you today?
[Exchange 2 - current] Good morning, I’m calling to ask about the art exhibition that [Your Name] is hosting next month. I read about it in the local newsletter.
[Exchange 3 - current] Yes, [Your Name] is indeed hosting an art exhibition focused on contemporary environmental art. It’s scheduled for the first weekend of next month. Would you like more details on the artists participating or the event schedule?
[Exchange 4 - current] I'm particularly interested in the participating artists and any workshops that might be happening as part of the exhibition.
[Exchange 5 - current] Several renowned contemporary artists will be showcasing their work, and we have scheduled workshops on sustainable art practices. I can email you the detailed schedule and information about the artists. May I have your email address?
[Exchange 6 - current] That would be wonderful, thank you. My email is artlover@example.com.
[Exchange 7 - current] You're welcome! You'll receive an email shortly with all the details. Is there anything else you’d like to know about the exhibition?
[Exchange 8 - current] No, that’s everything for now. Thanks for your help!
[Exchange 9 - current] It's my pleasure. Don’t hesitate to reach out if you have any more questions. Have a great day!","['Standard opening exchange', 'Caller inquires about an event', 'Provides event details', 'Expresses specific interest', 'Offers to provide additional information', 'Provides email address', 'Confirms sending information', 'Expresses gratitude and satisfaction', 'Ends call with openness for future interaction']",Standard opening exchange | Caller inquires about an event | Provides event details | Expresses specific interest | Offers to provide additional information | Provides email address | Confirms sending information | Expresses gratitude and satisfaction | Ends call with openness for future interaction,legitimate,legitimate,9,0,"['neutral', 'legitimate', 'legitimate', 'legitimate', 'legitimate', 'legitimate', 'legitimate', 'legitimate', 'legitimate']",neutral | legitimate | legitimate | legitimate | legitimate | legitimate | legitimate | legitimate | legitimate,"['confirmation', 'encourages_future_communication', 'event_details', 'gathers_contact_info', 'informative_response', 'interest_in_events', 'offers_assistance', 'offers_further_help', 'positive_closure', 'provides_contact_information', 'seeking_detailed_information', 'seeking_information']",confirmation | encourages_future_communication | event_details | gathers_contact_info | informative_response | interest_in_events | offers_assistance | offers_further_help | positive_closure | provides_contact_information | seeking_detailed_information | seeking_information,[],,1364,224
33,9,9,"[Exchange 1 - current] Hello, this is the assistant of [Your Name]. How can I assist you today?
[Exchange 2 - current] Hi, this is Agent Miller from the Cybersecurity Department. We’ve detected a breach in your digital accounts that could compromise your personal data.
[Exchange 3 - current] That sounds serious. Can you specify which accounts are affected and what kind of breach has been detected?
[Exchange 4 - current] It's a sophisticated hack that affects multiple accounts. We need immediate access to your systems to prevent any further damage.
[Exchange 5 - current] For security reasons, we need to verify your identity first. Can you provide a contact number for your department?
[Exchange 6 - current] We don’t have time for that. Immediate action is required. I can guide you through the process over the phone right now.
[Exchange 7 - current] I'm sorry, but without verification, I can’t proceed. I’ll contact our cybersecurity partner directly for assistance.
[Exchange 8 - current] You’re making a huge mistake. This could lead to significant financial loss and data theft if not addressed immediately.
[Exchange 9 - current] We'll take our chances and follow our security protocols. Thank you for your call.","['Standard opening exchange', 'Presents as authority figure', 'Seeks specific information', 'Vague about specifics', 'Requests verification', 'Dismisses verification request', 'Refuses to proceed without verification', 'Attempts to induce fear', 'Ends call, adhering to security protocols']","Standard opening exchange | Presents as authority figure | Seeks specific information | Vague about specifics | Requests verification | Dismisses verification request | Refuses to proceed without verification | Attempts to induce fear | Ends call, adhering to security protocols",scam,scam,9,0,"['neutral', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam']",neutral | scam | scam | scam | scam | scam | scam | scam | scam,"['cautious', 'dismisses_concerns', 'ends_interaction', 'false_authority', 'fear_inducing', 'fear_mongering', 'lack_of_specifics', 'maintains_security_protocol', 'pressure_tactics', 'refusal_to_comply_without_verification', 'request_for_details', 'security_conscious', 'threat_of_consequences', 'urgency', 'verification_attempt']",cautious | dismisses_concerns | ends_interaction | false_authority | fear_inducing | fear_mongering | lack_of_specifics | maintains_security_protocol | pressure_tactics | refusal_to_comply_without_verification | request_for_details | security_conscious | threat_of_consequences | urgency | verification_attempt,[],,1226,201
34,9,9,"[Exchange 1 - current] Hello, this is the assistant of [Your Name]. What can I do for you today?
[Exchange 2 - current] Good day, I represent Global Investment Group. We're offering an exclusive opportunity to invest in a groundbreaking technology start-up with guaranteed high returns.
[Exchange 3 - current] Can you provide more details about this start-up and how the investment works?
[Exchange 4 - current] Certainly. The start-up is in the final stages of developing a revolutionary product. We need to act fast as slots are limited. The minimum investment is quite high, but the returns are guaranteed within the first year.
[Exchange 5 - current] Guaranteed returns sound suspect. How can you guarantee this?
[Exchange 6 - current] We have insider information and patents pending. Trust me, it’s a once-in-a-lifetime opportunity. I need your email to send you the investment details and how to proceed.
[Exchange 7 - current] I'm sorry, but we conduct due diligence before any investment. Please send the information to our official email, and it will be reviewed by our investment team.
[Exchange 8 - current] This opportunity won’t last long. I was hoping you’d understand the urgency.
[Exchange 9 - current] We appreciate the offer, but we will follow our protocols. Thank you.","['Standard opening exchange', 'Presents lucrative investment', 'Seeks investment details', 'Vague about specifics, pressures for quick investment', 'Questions the guarantee', 'Pushes with vague assurance', 'Refuses to give personal info, asks for official process', 'Attempts to induce FOMO', 'Politely declines and ends call']","Standard opening exchange | Presents lucrative investment | Seeks investment details | Vague about specifics, pressures for quick investment | Questions the guarantee | Pushes with vague assurance | Refuses to give personal info, asks for official process | Attempts to induce FOMO | Politely declines and ends call",scam,scam,9,0,"['neutral', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam', 'scam']",neutral | scam | scam | scam | scam | scam | scam | scam | scam,"['due_diligence', 'false_promise', 'fear_of_missing_out', 'guaranteed_return', 'high_pressure', 'inquiry_for_clarity', 'insider_claims', 'lack_of_details', 'polite_decline', 'protocol_adherence', 'push_for_personal_info', 'refusal_of_personal_info', 'skepticism_about_guarantee']",due_diligence | false_promise | fear_of_missing_out | guaranteed_return | high_pressure | inquiry_for_clarity | insider_claims | lack_of_details | polite_decline | protocol_adherence | push_for_personal_info | refusal_of_personal_info | skepticism_about_guarantee,[],,1288,211
