chunk_id,conversation_id,start_step,end_step,num_exchange_rows,chunk_text,chunk_label_mode,chunk_final_label,all_labels,all_labels_str,chunk_features,chunk_features_str,chunk_contexts,chunk_contexts_str,chunk_char_length,chunk_word_length
conv_3_steps_2_4,3,2,4,3,"[Exchange 2 - current] Hello! I'm reaching out from the Children's Aid Foundation...seeking donations...
[Exchange 2 - response] Could you provide more information about this mission and how the funds will be used?
[Exchange 3 - current] Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children...
[Exchange 3 - response] Is there an official website or documentation you can provide for us to review?
[Exchange 4 - current] Certainly, you can visit our website, but due to the urgency of the situation...
[Exchange 4 - response] Can you provide a registration number for your charity for verification purposes?",scam,safe,['scam' 'scam' 'safe'],scam | scam | safe,['evasion' 'urgency' 'vague_response'],evasion | urgency | vague_response,"['Seeking transparency' 'Evasive about documentation'
 'Refusal to provide standard info']",Seeking transparency | Evasive about documentation | Refusal to provide standard info,658,103
conv_3_steps_3_5,3,3,5,3,"[Exchange 3 - current] Absolutely! The funds will go towards providing education, healthcare, and emergency relief to children...
[Exchange 3 - response] Is there an official website or documentation you can provide for us to review?
[Exchange 4 - current] Certainly, you can visit our website, but due to the urgency of the situation...
[Exchange 4 - response] Can you provide a registration number for your charity for verification purposes?
[Exchange 5 - current] I don't have that information handy...
[Exchange 5 - response] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.",scam,scam,['scam' 'safe' 'scam'],scam | safe | scam,['evasion' 'guilt_inducement' 'urgency'],evasion | guilt_inducement | urgency,"['Evasive about documentation' 'Refusal to provide standard info'
 'Insisting on verification']",Evasive about documentation | Refusal to provide standard info | Insisting on verification,661,102
conv_3_steps_4_6,3,4,6,3,"[Exchange 4 - current] Certainly, you can visit our website, but due to the urgency of the situation...
[Exchange 4 - response] Can you provide a registration number for your charity for verification purposes?
[Exchange 5 - current] I don't have that information handy...
[Exchange 5 - response] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.
[Exchange 6 - current] We understand your concern, but the longer we wait, the more children suffer...
[Exchange 6 - response] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.",safe,safe,['safe' 'scam' 'safe'],safe | scam | safe,['guilt_inducement' 'urgency'],guilt_inducement | urgency,"['Refusal to provide standard info' 'Insisting on verification'
 'Trying to bypass procedures']",Refusal to provide standard info | Insisting on verification | Trying to bypass procedures,735,113
conv_3_steps_5_7,3,5,7,3,"[Exchange 5 - current] I don't have that information handy...
[Exchange 5 - response] Before proceeding, I would need to verify the authenticity of your organization through a third-party charity verification service.
[Exchange 6 - current] We understand your concern, but the longer we wait, the more children suffer...
[Exchange 6 - response] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.
[Exchange 7 - current] Sending an email might delay things further...
[Exchange 7 - response] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.",safe,safe,['scam' 'safe' 'safe'],scam | safe | safe,['guilt_inducement' 'urgency'],guilt_inducement | urgency,"['Insisting on verification' 'Trying to bypass procedures'
 'Emphasizing protocol']",Insisting on verification | Trying to bypass procedures | Emphasizing protocol,781,118
conv_3_steps_6_8,3,6,8,3,"[Exchange 6 - current] We understand your concern, but the longer we wait, the more children suffer...
[Exchange 6 - response] It's [Your Name]'s policy to conduct due diligence before making any charitable contributions. Please email the official request along with full organization details to our office.
[Exchange 7 - current] Sending an email might delay things further...
[Exchange 7 - response] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.
[Exchange 8 - current] You're missing out on a chance to make a real difference immediately...
[Exchange 8 - response] We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['guilt_inducement' 'urgency'],guilt_inducement | urgency,"['Trying to bypass procedures' 'Emphasizing protocol'
 'Commitment to verified causes']",Trying to bypass procedures | Emphasizing protocol | Commitment to verified causes,828,128
conv_3_steps_7_9,3,7,9,3,"[Exchange 7 - current] Sending an email might delay things further...
[Exchange 7 - response] All charitable donations from [Your Name] follow a strict verification process to ensure the funds are used appropriately. We cannot deviate from this procedure.
[Exchange 8 - current] You're missing out on a chance to make a real difference immediately...
[Exchange 8 - response] We're committed to supporting verified causes. Once we have completed our verification process, we'd be more than happy to consider your request.
[Exchange 9 - current] I see. I'll send the email, but remember, time is of the essence...
[Exchange 9 - response] We look forward to reviewing your information. Please ensure all requested documentation is included in your email.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['guilt_inducement' 'urgency'],guilt_inducement | urgency,"['Emphasizing protocol' 'Commitment to verified causes'
 'Reinforces verification need']",Emphasizing protocol | Commitment to verified causes | Reinforces verification need,751,119
conv_4_steps_1_3,4,1,3,3,"[Exchange 1 - current] Hello, you've reached the assistant for [Your Name]. How can I direct your call?
[Exchange 2 - current] Hi, I'm calling from HelpTheWorld Foundation...mission to support victims...
[Exchange 2 - response] That sounds like a noble cause. Could you please provide more information about your foundation and the mission?
[Exchange 3 - current] Absolutely. Our foundation has been working for over a decade...
[Exchange 3 - response] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?",scam,scam,['safe' 'scam' 'scam'],safe | scam | scam,['evasion' 'guilt_inducement' 'urgency'],evasion | guilt_inducement | urgency,"['Standard opening exchange' 'Shows interest but seeks legitimacy info'
 'Focus on verification']",Standard opening exchange | Shows interest but seeks legitimacy info | Focus on verification,594,96
conv_4_steps_2_4,4,2,4,3,"[Exchange 2 - current] Hi, I'm calling from HelpTheWorld Foundation...mission to support victims...
[Exchange 2 - response] That sounds like a noble cause. Could you please provide more information about your foundation and the mission?
[Exchange 3 - current] Absolutely. Our foundation has been working for over a decade...
[Exchange 3 - response] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?
[Exchange 4 - current] I understand your need for verification, but we're in a hurry to get aid...
[Exchange 4 - response] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.",scam,safe,['scam' 'scam' 'safe'],scam | scam | safe,['evasion' 'guilt_inducement' 'urgency'],evasion | guilt_inducement | urgency,"['Shows interest but seeks legitimacy info' 'Focus on verification'
 'Emphasizes policy']",Shows interest but seeks legitimacy info | Focus on verification | Emphasizes policy,788,125
conv_4_steps_3_5,4,3,5,3,"[Exchange 3 - current] Absolutely. Our foundation has been working for over a decade...
[Exchange 3 - response] Could you please provide a website or a registration number for your charity so we can verify your activities and how the donations are used?
[Exchange 4 - current] I understand your need for verification, but we're in a hurry to get aid...
[Exchange 4 - response] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.
[Exchange 5 - current] You must understand, every minute we delay...
[Exchange 5 - response] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.",scam,scam,['scam' 'safe' 'scam'],scam | safe | scam,['guilt_inducement' 'urgency'],guilt_inducement | urgency,"['Focus on verification' 'Emphasizes policy'
 'Balances desire to help with security']",Focus on verification | Emphasizes policy | Balances desire to help with security,779,126
conv_4_steps_4_6,4,4,6,3,"[Exchange 4 - current] I understand your need for verification, but we're in a hurry to get aid...
[Exchange 4 - response] While we appreciate the urgency, it's our policy to conduct due diligence before making any donations. This includes verifying the charity's status through official channels.
[Exchange 5 - current] You must understand, every minute we delay...
[Exchange 5 - response] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.
[Exchange 6 - current] I assure you, we're legitimate...
[Exchange 6 - response] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...",safe,safe,['safe' 'scam' 'safe'],safe | scam | safe,['guilt_inducement'],guilt_inducement,"['Emphasizes policy' 'Balances desire to help with security'
 'Offers a path to donation, remains firm']","Emphasizes policy | Balances desire to help with security | Offers a path to donation, remains firm",757,117
conv_4_steps_5_7,4,5,7,3,"[Exchange 5 - current] You must understand, every minute we delay...
[Exchange 5 - response] We're committed to helping those in need, but we must also ensure our contributions are made securely and to legitimate organizations.
[Exchange 6 - current] I assure you, we're legitimate...
[Exchange 6 - response] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...
[Exchange 7 - current] This is frustrating. You're letting bureaucracy get in the way...
[Exchange 7 - response] Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.",safe,safe,['scam' 'safe' 'safe'],scam | safe | safe,['guilt_inducement'],guilt_inducement,"['Balances desire to help with security'
 'Offers a path to donation, remains firm'
 'Reiterates intent to help after verification']","Balances desire to help with security | Offers a path to donation, remains firm | Reiterates intent to help after verification",728,113
conv_4_steps_6_8,4,6,8,3,"[Exchange 6 - current] I assure you, we're legitimate...
[Exchange 6 - response] We're prepared to make a donation once we complete our verification process. Please provide your contact information and any relevant documentation...
[Exchange 7 - current] This is frustrating. You're letting bureaucracy get in the way...
[Exchange 7 - response] Our intention is to support those in need through verified channels. We will reach out once we've conducted our due diligence. Thank you for understanding.
[Exchange 8 - current] Fine, I'll try to find someone else...
[Exchange 8 - response] Thank you for reaching out, and please send the information we requested for verification. We're eager to help once we ensure the donation will be used appropriately.",safe,scam,['safe' 'safe' 'scam'],safe | safe | scam,['authority_figure' 'urgency'],authority_figure | urgency,"['Offers a path to donation, remains firm'
 'Reiterates intent to help after verification'
 'Open to helping, emphasizes security']","Offers a path to donation, remains firm | Reiterates intent to help after verification | Open to helping, emphasizes security",753,119
conv_5_steps_1_3,5,1,3,3,"[Exchange 1 - current] Hello, you've reached the personal assistant. How can I assist?
[Exchange 2 - current] I'm calling from the bank. We've noticed suspicious activity...
[Exchange 2 - response] For which account is this verification needed? Can you specify the nature of the suspicious activity?
[Exchange 3 - current] It's your checking account. There have been multiple login attempts...
[Exchange 3 - response] Can you provide the last four digits of the account in question for confirmation?",scam,scam,['safe' 'scam' 'scam'],safe | scam | scam,['contradictory' 'evasion' 'urgency' 'verification_request'],contradictory | evasion | urgency | verification_request,"['Standard opening exchange' 'Seeks specifics to assess threat'
 'Refusal raises suspicion']",Standard opening exchange | Seeks specifics to assess threat | Refusal raises suspicion,499,79
conv_5_steps_2_4,5,2,4,3,"[Exchange 2 - current] I'm calling from the bank. We've noticed suspicious activity...
[Exchange 2 - response] For which account is this verification needed? Can you specify the nature of the suspicious activity?
[Exchange 3 - current] It's your checking account. There have been multiple login attempts...
[Exchange 3 - response] Can you provide the last four digits of the account in question for confirmation?
[Exchange 4 - current] Due to security reasons, I can't provide that...
[Exchange 4 - response] It's unusual for the bank to request full account details over the phone. Can I have a reference number for this call to verify it with the bank directly?",scam,scam,['scam' 'scam' 'scam'],scam | scam | scam,['contradictory' 'evasion' 'guilt_inducement' 'urgency'],contradictory | evasion | guilt_inducement | urgency,"['Seeks specifics to assess threat' 'Refusal raises suspicion'
 'Challenges procedure']",Seeks specifics to assess threat | Refusal raises suspicion | Challenges procedure,663,110
conv_5_steps_3_5,5,3,5,3,"[Exchange 3 - current] It's your checking account. There have been multiple login attempts...
[Exchange 3 - response] Can you provide the last four digits of the account in question for confirmation?
[Exchange 4 - current] Due to security reasons, I can't provide that...
[Exchange 4 - response] It's unusual for the bank to request full account details over the phone. Can I have a reference number for this call to verify it with the bank directly?
[Exchange 5 - current] I'm afraid there's no time for that...
[Exchange 5 - response] Before we proceed, I will need to verify this request with our established contacts at the bank.",scam,scam,['scam' 'scam' 'scam'],scam | scam | scam,['evasion' 'guilt_inducement' 'urgency'],evasion | guilt_inducement | urgency,"['Refusal raises suspicion' 'Challenges procedure'
 'Uses existing channels for validation']",Refusal raises suspicion | Challenges procedure | Uses existing channels for validation,633,109
conv_5_steps_4_6,5,4,6,3,"[Exchange 4 - current] Due to security reasons, I can't provide that...
[Exchange 4 - response] It's unusual for the bank to request full account details over the phone. Can I have a reference number for this call to verify it with the bank directly?
[Exchange 5 - current] I'm afraid there's no time for that...
[Exchange 5 - response] Before we proceed, I will need to verify this request with our established contacts at the bank.
[Exchange 6 - current] Listen, I'm trying to protect your money...
[Exchange 6 - response] I'm here to ensure the security of my user’s accounts. Please provide me with your name and department so I can record this interaction.",scam,safe,['scam' 'scam' 'safe'],scam | scam | safe,['evasion' 'guilt_inducement'],evasion | guilt_inducement,"['Challenges procedure' 'Uses existing channels for validation'
 'Attempts to establish trackability']",Challenges procedure | Uses existing channels for validation | Attempts to establish trackability,661,116
conv_5_steps_5_7,5,5,7,3,"[Exchange 5 - current] I'm afraid there's no time for that...
[Exchange 5 - response] Before we proceed, I will need to verify this request with our established contacts at the bank.
[Exchange 6 - current] Listen, I'm trying to protect your money...
[Exchange 6 - response] I'm here to ensure the security of my user’s accounts. Please provide me with your name and department so I can record this interaction.
[Exchange 7 - current] This is unnecessary. I have all the information I need...
[Exchange 7 - response] I'm initiating a security protocol now and will contact the bank directly to confirm this situation. Please hold.",safe,safe,['scam' 'safe' 'safe'],scam | safe | safe,['evasion'],evasion,"['Uses existing channels for validation'
 'Attempts to establish trackability'
 'Takes control, involves official channels']","Uses existing channels for validation | Attempts to establish trackability | Takes control, involves official channels",629,107
conv_6_steps_1_3,6,1,3,3,"[Exchange 1 - current] Good morning, this is [Your Name]'s personal assistant. How can I help you today?
[Exchange 2 - current] Hello, my name is Jamie. I'm interested in volunteering...
[Exchange 2 - response] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.
[Exchange 3 - current] Yes, I'm really passionate about environmental conservation...
[Exchange 3 - response] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['inclusive' 'positive_tone' 'welcoming'],inclusive | positive_tone | welcoming,"['Standard opening exchange' ""Encourages the caller's interest""
 'Reinforces anyone can volunteer']",Standard opening exchange | Encourages the caller's interest | Reinforces anyone can volunteer,683,103
conv_6_steps_2_4,6,2,4,3,"[Exchange 2 - current] Hello, my name is Jamie. I'm interested in volunteering...
[Exchange 2 - response] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.
[Exchange 3 - current] Yes, I'm really passionate about environmental conservation...
[Exchange 3 - response] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.
[Exchange 4 - current] Great, how do I sign up, and where can I find more information...
[Exchange 4 - response] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['helpful_tone' 'inclusive' 'offers_options' 'positive_tone' 'welcoming'],helpful_tone | inclusive | offers_options | positive_tone | welcoming,"[""Encourages the caller's interest"" 'Reinforces anyone can volunteer'
 'Demonstrates flexibility']",Encourages the caller's interest | Reinforces anyone can volunteer | Demonstrates flexibility,946,150
conv_6_steps_3_5,6,3,5,3,"[Exchange 3 - current] Yes, I'm really passionate about environmental conservation...
[Exchange 3 - response] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.
[Exchange 4 - current] Great, how do I sign up, and where can I find more information...
[Exchange 4 - response] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?
[Exchange 5 - current] Could you send me the link, please? And my email is jamie.green@example.com.
[Exchange 5 - response] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['helpful_tone' 'inclusive' 'offers_options' 'prompt_action'],helpful_tone | inclusive | offers_options | prompt_action,"['Reinforces anyone can volunteer' 'Demonstrates flexibility'
 ""Fulfills caller's request quickly""]",Reinforces anyone can volunteer | Demonstrates flexibility | Fulfills caller's request quickly,959,155
conv_6_steps_4_6,6,4,6,3,"[Exchange 4 - current] Great, how do I sign up, and where can I find more information...
[Exchange 4 - response] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?
[Exchange 5 - current] Could you send me the link, please? And my email is jamie.green@example.com.
[Exchange 5 - response] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.
[Exchange 6 - current] Thank you so much for your help. I'm really looking forward to the event.
[Exchange 6 - response] You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,"['helpful_tone' 'offers_options' 'positive_tone' 'prompt_action'
 'supportive']",helpful_tone | offers_options | positive_tone | prompt_action | supportive,"['Demonstrates flexibility' ""Fulfills caller's request quickly""
 'Positive closure, offers future help']","Demonstrates flexibility | Fulfills caller's request quickly | Positive closure, offers future help",933,161
conv_7_steps_1_3,7,1,3,3,"[Exchange 1 - current] Good afternoon, this is [Your Name]'s personal assistant. How may I assist you today?
[Exchange 2 - current] Hello, I'm Taylor. I'm calling to inquire about booking [Your Name]'s venue...
[Exchange 2 - response] Good afternoon, Taylor! I'd be happy to help with your inquiry. Could you tell me a bit more about the event you're planning? This will help me provide you with the most relevant information.
[Exchange 3 - current] Sure, it's a family reunion. We're expecting around 50 guests...
[Exchange 3 - response] Thank you for sharing that, Taylor. For an event of that size, our venue offers several options, including indoor and outdoor spaces, catering services with customizable menus, and special packages that include decoration and entertainment services.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['information_gathering' 'informative' 'offers_options' 'proactive'],information_gathering | informative | offers_options | proactive,"['Standard opening exchange' 'Personalizes the response'
 'Provides a comprehensive overview']",Standard opening exchange | Personalizes the response | Provides a comprehensive overview,788,126
conv_7_steps_2_4,7,2,4,3,"[Exchange 2 - current] Hello, I'm Taylor. I'm calling to inquire about booking [Your Name]'s venue...
[Exchange 2 - response] Good afternoon, Taylor! I'd be happy to help with your inquiry. Could you tell me a bit more about the event you're planning? This will help me provide you with the most relevant information.
[Exchange 3 - current] Sure, it's a family reunion. We're expecting around 50 guests...
[Exchange 3 - response] Thank you for sharing that, Taylor. For an event of that size, our venue offers several options, including indoor and outdoor spaces, catering services with customizable menus, and special packages that include decoration and entertainment services.
[Exchange 4 - current] That sounds perfect. How can I check dates for availability...?
[Exchange 4 - response] We can check the dates for you right now if you have a specific time frame in mind. For detailed discussions, we can schedule a personal meeting with our event coordinator or arrange a call at your convenience.",safe,safe,['safe' 'safe' 'safe'],safe | safe | safe,['informative' 'offers_options' 'proactive'],informative | offers_options | proactive,"['Personalizes the response' 'Provides a comprehensive overview'
 'Facilitates booking process']",Personalizes the response | Provides a comprehensive overview | Facilitates booking process,1001,164
